Local time,Open,High,Low,Close,Volume
30.05.2022 00:00:00.000 GMT+0200,1.07326,1.07339,1.07326,1.07335,49.95
30.05.2022 00:01:00.000 GMT+0200,1.07335,1.07352,1.07335,1.07351,50.62
30.05.2022 00:02:00.000 GMT+0200,1.07352,1.07360,1.07350,1.07352,102
30.05.2022 00:03:00.000 GMT+0200,1.07353,1.07354,1.07345,1.07345,58
30.05.2022 00:04:00.000 GMT+0200,1.07346,1.07348,1.07346,1.07346,24
30.05.2022 00:05:00.000 GMT+0200,1.07346,1.07347,1.07346,1.07346,9.2
30.05.2022 00:06:00.000 GMT+0200,1.07346,1.07346,1.07343,1.07343,24.1
30.05.2022 00:07:00.000 GMT+0200,1.07344,1.07344,1.07338,1.07344,107.1
30.05.2022 00:08:00.000 GMT+0200,1.07343,1.07344,1.07337,1.07338,96.92
30.05.2022 00:09:00.000 GMT+0200,1.07339,1.07344,1.07334,1.07334,60.25
30.05.2022 00:10:00.000 GMT+0200,1.07338,1.07341,1.07320,1.07323,129.35
30.05.2022 00:11:00.000 GMT+0200,1.07325,1.07326,1.07321,1.07326,37.8
30.05.2022 00:12:00.000 GMT+0200,1.07325,1.07333,1.07325,1.07332,85.05
30.05.2022 00:13:00.000 GMT+0200,1.07332,1.07338,1.07331,1.07337,100.35
30.05.2022 00:14:00.000 GMT+0200,1.07338,1.07339,1.07327,1.07327,110.25
30.05.2022 00:15:00.000 GMT+0200,1.07328,1.07348,1.07328,1.07347,62.1
30.05.2022 00:16:00.000 GMT+0200,1.07348,1.07354,1.07347,1.07348,171.9
30.05.2022 00:17:00.000 GMT+0200,1.07348,1.07353,1.07347,1.07348,145.8
30.05.2022 00:18:00.000 GMT+0200,1.07349,1.07350,1.07347,1.07350,177.3
30.05.2022 00:19:00.000 GMT+0200,1.07349,1.07354,1.07346,1.07353,180
30.05.2022 00:20:00.000 GMT+0200,1.07354,1.07357,1.07343,1.07344,104.17
30.05.2022 00:21:00.000 GMT+0200,1.07343,1.07344,1.07341,1.07343,40.5
30.05.2022 00:22:00.000 GMT+0200,1.07344,1.07349,1.07343,1.07348,129.6
30.05.2022 00:23:00.000 GMT+0200,1.07348,1.07349,1.07348,1.07349,67.5
30.05.2022 00:24:00.000 GMT+0200,1.07348,1.07349,1.07343,1.07343,101.7
30.05.2022 00:25:00.000 GMT+0200,1.07344,1.07345,1.07343,1.07343,135.9
30.05.2022 00:26:00.000 GMT+0200,1.07342,1.07344,1.07342,1.07343,41.4
30.05.2022 00:27:00.000 GMT+0200,1.07344,1.07345,1.07343,1.07343,61.2
